num_obstacles,experiment,t0,t1,t2,t3,improvement
1,1,0.2639117372234293,0.5700876365060563,,,
1,2,0.25557148193159,0.5318086842112895,0.7327519060779528,0.951718044312494,0.696146562380904
1,3,0.24920275488712934,0.6430217322071041,0.8362225020364835,,
1,4,0.25862462288993926,0.598146730685691,0.9607097100087673,,
1,5,0.25357218964705985,0.5758056134818444,0.933978675442613,0.9528514300874825,0.6992792404404227
1,6,0.24546059420565264,0.5964163546115293,0.8108857785911837,0.8180668700262628,0.5726062758206101
1,7,0.252133276460675,0.7009668197043597,0.8800802202332981,0.8875677723758415,0.6354344959151665
1,8,0.2407202831429917,0.5725690952531794,0.9050069493050529,0.927909372041283,0.6871890888982912
1,9,0.261938696074393,0.5958391984194835,,,
1,10,0.24439120881007828,0.6014761329957172,0.9732696448759361,,
2,1,0.2639117372234293,0.5952658879891117,0.823489382222745,,
2,2,0.25557148193159,0.6070624608796931,0.9431601468410415,0.943676235531691,0.688104753600101
2,3,0.24920275488712934,0.6430217322071041,0.8362225020364835,,
2,4,0.25862462288993926,0.598146730685691,0.9607097100087673,,
2,5,0.25357218964705985,0.5758056134818444,0.933978675442613,0.9528514300874825,0.6992792404404227
2,6,0.24546059420565264,0.5964163546115293,0.8108857785911837,0.8180668700262628,0.5726062758206101
2,7,0.252133276460675,0.7060521535346076,0.8805145555745154,0.8871692570227957,0.6350359805621206
2,8,0.2407202831429917,0.5559220543559951,0.9053896490573624,0.9269047065602013,0.6861844234172096
2,9,0.261938696074393,0.6501797822428016,0.9621953332164344,,
2,10,0.24439120881007828,0.6014761329957172,0.9732696448759361,,
5,1,0.2639117372234293,0.584801579200161,,,
5,2,0.25557148193159,0.6292557059540658,0.9435129531062179,0.9432063073573792,0.6876348254257891
5,3,0.24920275488712934,0.6221245154466699,,,
5,4,0.25862462288993926,0.6765313770107886,0.9573022712893705,,
5,5,0.25357218964705985,0.6131328252580391,0.93101688896771,0.9533557429605853,0.6997835533135255
5,6,0.24546059420565264,0.6276272652443644,0.8112311195018803,0.8199093116474214,0.5744487174417687
5,7,0.252133276460675,0.7060521535346076,0.8805145555745154,0.8871692570227957,0.6350359805621206
5,8,0.2407202831429917,0.5558294615040406,0.7859222531066173,0.939877827001512,0.6991575438585202
5,9,0.261938696074393,0.6695946734124458,0.9619269204118035,0.9518705628688974,0.6899318667945044
5,10,0.24439120881007828,0.6178828387118258,0.9731864165122108,,
10,1,0.2639117372234293,0.6744252782911364,0.9445503804814175,0.9763523675394602,0.7124406303160309
10,2,0.25557148193159,0.6573159541372448,0.945728522132961,0.9428237028528562,0.6872522209212661
10,3,0.24920275488712934,0.5580139647950375,0.8358883433968035,0.8332874875440938,0.5840847326569645
10,4,0.25862462288993926,0.6699300420130125,0.953922439701422,,
10,5,0.25357218964705985,0.6366204799889219,0.9311998882285474,0.94857658273095,0.6950043930838902
10,6,0.24546059420565264,0.6274031824986955,0.888315133897723,0.9025675563436165,0.6571069621379639
10,7,0.252133276460675,0.6802608474155257,0.8021053007544655,0.8137851673262523,0.5616518908655772
10,8,0.2407202831429917,0.5754945892959994,0.7846908134720906,0.9423608885619036,0.7016406054189119
10,9,0.261938696074393,0.6671140671046814,0.9618340006187353,,
10,10,0.24439120881007828,0.7586273606418675,0.9757116419518749,,
